Case01 (Ts=310.079K Algorithm:GRAYBODY)
wavelength      Lsur     Ldown  emis_est
   8.00592  11.09467   7.23210   1.00114
   8.02425  11.10608   7.59715   1.00114
   8.04267  11.11395   7.99679   1.00114
   8.06117  11.09430   7.61695   1.00114
   8.07976  11.05115   6.90223   1.00114
   8.09843  10.97977   6.00096   0.95564
   8.11719  10.92148   5.46934   0.95564
   8.13604  10.93518   6.07155   0.95564
   8.15497  10.99920   7.27927   0.95564
   8.17399  11.01136   7.68002   0.95564
   8.19310  10.98044   7.44117   0.92068
   8.21230  10.94699   7.17367   0.92068
   8.23159  10.95287   7.25527   0.92068
   8.25097  10.99293   7.65801   0.92068
   8.27045  10.91434   6.93007   0.92068
   8.29001  10.77940   5.70697   0.89926
   8.30967  10.72060   5.20362   0.89926
   8.32941  10.79316   5.77590   0.89926
   8.34926  10.87888   6.47084   0.89926
   8.36920  10.81730   5.94337   0.89926
   8.38923  10.77825   5.56632   0.89309
   8.40936  10.89006   6.40936   0.89309
   8.42958  10.96568   6.93046   0.89309
   8.44991  10.87452   6.08059   0.89309
   8.47033  10.79038   5.36808   0.89309
   8.49085  10.88674   6.10852   0.89314
   8.51147  11.04118   7.24518   0.89314
   8.53219  10.98810   6.69176   0.89314
   8.55301  10.88073   5.68473   0.89314
   8.57393  10.96368   6.09723   0.89314
   8.59495  11.00485   5.96076   0.90560
   8.61608  10.95303   4.99066   0.90560
   8.63731  10.93465   4.68615   0.90560
   8.65865  10.96978   5.31398   0.90560
   8.68009  11.05803   6.40447   0.90560
   8.70164  11.02104   6.32787   0.88268
   8.72329  10.86449   5.24618   0.88268
   8.74506  10.79296   4.77830   0.88268
   8.76693  10.86009   5.29606   0.88268
   8.78891  11.04245   6.63514   0.88268
   8.81100  11.07662   6.86212   0.87704
   8.83320  10.89731   5.52454   0.87704
   8.85552  10.79341   4.74134   0.87704
   8.87794  10.80809   4.76913   0.87704
   8.90048  10.90752   5.39778   0.87704
   8.92314  10.99774   5.96753   0.88195
   8.94591  10.95065   5.50098   0.88195
   8.96879  10.92578   5.21822   0.88195
   8.99180  10.99103   5.65278   0.88195
   9.01492  11.03426   5.95604   0.88195
   9.03816  11.02519   5.91087   0.87795
