Case01 (Ts=310.581K Algorithm:I-LECTES)
wavelength      Lsur     Ldown  emis_est
   8.00592  11.17987   7.23210   1.01355
   8.02425  11.18743   7.59715   1.00448
   8.04267  11.19478   7.99679   0.99536
   8.06117  11.18030   7.61695   0.98621
   8.07976  11.14144   6.90223   0.97701
   8.09843  11.07455   6.00096   0.96776
   8.11719  11.01961   5.46934   0.96015
   8.13604  11.03012   6.07155   0.95249
   8.15497  11.08785   7.27927   0.94480
   8.17399  11.09647   7.68002   0.93707
   8.19310  11.06810   7.44117   0.92931
   8.21230  11.03943   7.17367   0.92454
   8.23159  11.04510   7.25527   0.91975
   8.25097  11.08307   7.65801   0.91494
   8.27045  11.01025   6.93007   0.91010
   8.29001  10.88832   5.70697   0.90524
   8.30967  10.83778   5.20362   0.90381
   8.32941  10.90136   5.77590   0.90236
   8.34926  10.97810   6.47084   0.90092
   8.36920  10.92461   5.94337   0.89946
   8.38923  10.89173   5.56632   0.89800
   8.40936  10.99684   6.40936   0.89685
   8.42958  11.06767   6.93046   0.89571
   8.44991  10.98623   6.08059   0.89455
   8.47033  10.91291   5.36808   0.89339
   8.49085  11.00108   6.10852   0.89223
   8.51147  11.14071   7.24518   0.89604
   8.53219  11.09354   6.69176   0.89987
   8.55301  10.99699   5.68473   0.90371
   8.57393  11.07472   6.09723   0.90758
   8.59495  11.11820   5.96076   0.91147
   8.61608  11.07442   4.99066   0.90850
   8.63731  11.05558   4.68615   0.90553
   8.65865  11.08649   5.31398   0.90254
   8.68009  11.16569   6.40447   0.89953
   8.70164  11.12816   6.32787   0.89651
   8.72329  10.98376   5.24618   0.89308
   8.74506  10.91944   4.77830   0.88963
   8.76693  10.97955   5.29606   0.88616
   8.78891  11.14336   6.63514   0.88268
   8.81100  11.17604   6.86212   0.87918
   8.83320  11.01690   5.52454   0.88047
   8.85552  10.92400   4.74134   0.88176
   8.87794  10.93771   4.76913   0.88306
   8.90048  11.02946   5.39778   0.88437
   8.92314  11.11435   5.96753   0.88568
   8.94591  11.07300   5.50098   0.88613
   8.96879  11.05008   5.21822   0.88658
   8.99180  11.11048   5.65278   0.88703
   9.01492  11.14947   5.95604   0.88749
   9.03816  11.14000   5.91087   0.88795
   9.06152  11.13122   5.86761   0.88609
   9.08500  11.14291   5.99419   0.88422
   9.10861  11.07529   5.52734   0.88235
   9.13233  11.01409   5.10277   0.88046
   9.15618  11.05533   5.45477   0.87856
   9.18016  11.05894   5.51867   0.87759
   9.20426  11.02637   5.29759   0.87662
   9.22848  11.01815   5.26645   0.87564
   9.25284  11.00880   5.22699   0.87465
   9.27732  11.03433   5.42218   0.87366
   9.30193  11.09474   5.85968   0.87627
   9.32668  11.08681   5.74447   0.87889
   9.35155  11.08914   5.64708   0.88152
   9.37656  11.17198   6.12562   0.88416
   9.40170  11.21438   6.32931   0.88682
   9.42698  11.22749   6.38707   0.88755
   9.45239  11.24860   6.54712   0.88828
   9.47794  11.25743   6.61682   0.88902
   9.50363  11.26913   6.70219   0.88976
   9.52946  11.25142   6.53645   0.89050
   9.55542  11.18805   5.99964   0.89245
   9.58153  11.16648   5.79691   0.89442
   9.60779  11.21095   6.11326   0.89639
   9.63418  11.23523   6.22061   0.89838
   9.66072  11.23892   6.12213   0.90038
   9.68741  11.28095   6.37613   0.90386
   9.71425  11.32234   6.62084   0.90736
   9.74123  11.30741   6.32354   0.91089
   9.76837  11.28447   5.99543   0.91443
   9.79565  11.29584   6.07020   0.91800
   9.82309  11.31730   6.29756   0.91935
   9.85068  11.32270   6.35217   0.92072
   9.87843  11.31640   6.25575   0.92210
   9.90633  11.30069   6.03622   0.92348
   9.93440  11.27898   5.74763   0.92487
   9.96262  11.27721   5.67062   0.92750
   9.99100  11.29091   5.73217   0.93014
  10.01954  11.29154   5.64518   0.93280
  10.04825  11.28345   5.47571   0.93547
  10.07712  11.28619   5.42242   0.93816
  10.10615  11.29258   5.42364   0.94095
  10.13536  11.29905   5.45946   0.94375
  10.16473  11.30759   5.53690   0.94658
  10.19428  11.31559   5.64502   0.94942
  10.22399  11.33362   5.94054   0.95227
  10.25388  11.35111   6.23750   0.95396
  10.28395  11.34422   6.18161   0.95567
  10.31419  11.32654   5.96889   0.95738
  10.34461  11.31344   5.84514   0.95910
  10.37521  11.29909   5.73504   0.96083
  10.40599  11.28679   5.70560   0.96100
  10.43695  11.27958   5.86531   0.96117
  10.46810  11.27029   6.04993   0.96133
  10.49943  11.25362   6.06668   0.96150
  10.53095  11.23909   6.15996   0.96168
  10.56267  11.21963   6.19782   0.96093
  10.59457  11.18906   5.99896   0.96019
  10.62666  11.16133   5.89059   0.95944
  10.65895  11.13425   5.83825   0.95869
  10.69144  11.10785   5.80675   0.95793
  10.72413  11.08568   5.86680   0.95662
  10.75701  11.06473   5.96590   0.95531
  10.79010  11.04526   6.16346   0.95399
  10.82339  11.02607   6.42493   0.95267
  10.85689  10.99620   6.39632   0.95133
  10.89059  10.95793   6.13727   0.95064
  10.92450  10.92689   6.03813   0.94995
  10.95863  10.90603   6.21221   0.94925
  10.99297  10.88897   6.51877   0.94855
  11.02752  10.86268   6.45747   0.94784
  11.06230  10.82803   6.09982   0.94785
  11.09729  10.79918   5.97311   0.94785
  11.13250  10.77548   6.03212   0.94785
  11.16794  10.74869   6.05494   0.94786
  11.20360  10.72511   6.19874   0.94786
