Case01 (Ts=313.629K Algorithm:GRAYBODY)
wavelength      Lsur     Ldown  emis_est
   8.00592  11.82541   7.13099   0.99375
   8.02425  11.83014   7.51606   0.99375
   8.04267  11.83172   7.93839   0.99375
   8.06117  11.80725   7.53697   0.99375
   8.07976  11.75572   6.77935   0.99375
   8.09843  11.67195   5.81348   0.95063
   8.11719  11.60371   5.23522   0.95063
   8.13604  11.61185   5.87415   0.95063
   8.15497  11.67164   7.16562   0.95063
   8.17399  11.67932   7.59329   0.95063
   8.19310  11.64408   7.33504   0.91512
   8.21230  11.60175   7.04649   0.91512
   8.23159  11.60094   7.13004   0.91512
   8.25097  11.63953   7.55775   0.91512
   8.27045  11.54966   6.78039   0.91512
   8.29001  11.39490   5.46379   0.89320
   8.30967  11.32073   4.90999   0.89320
   8.32941  11.39395   5.51803   0.89320
   8.34926  11.48256   6.26711   0.89320
   8.36920  11.40934   5.70178   0.89320
   8.38923  11.36405   5.29062   0.88606
   8.40936  11.48690   6.18978   0.88606
   8.42958  11.56576   6.75120   0.88606
   8.44991  11.45859   5.83879   0.88606
   8.47033  11.36564   5.07093   0.88606
   8.49085  11.47253   5.86773   0.88612
   8.51147  11.63924   7.08563   0.88612
   8.53219  11.57929   6.48163   0.88612
   8.55301  11.45789   5.39044   0.88612
   8.57393  11.54662   5.83386   0.88612
   8.59495  11.59547   5.68974   0.89927
   8.61608  11.53813   4.63997   0.89927
   8.63731  11.51401   4.30641   0.89927
   8.65865  11.55045   4.98320   0.89927
   8.68009  11.64391   6.16342   0.89927
   8.70164  11.59797   6.07963   0.87651
   8.72329  11.41887   4.90360   0.87651
   8.74506  11.33606   4.39366   0.87651
   8.76693  11.40997   4.95336   0.87651
   8.78891  11.60903   6.40437   0.87651
   8.81100  11.64406   6.65337   0.87113
   8.83320  11.44423   5.20318   0.87113
   8.85552  11.32589   4.34965   0.87113
   8.87794  11.33989   4.37724   0.87113
   8.90048  11.45104   5.05954   0.87113
   8.92314  11.55286   5.68035   0.87617
   8.94591  11.49801   5.17331   0.87617
   8.96879  11.46435   4.86207   0.87617
   8.99180  11.53605   5.33295   0.87617
   9.01492  11.58540   5.66478   0.87617
   9.03816  11.57585   5.61716   0.87252
   9.06152  11.56349   5.56963   0.87252
   9.08500  11.57316   5.70570   0.87252
   9.10861  11.48632   5.19873   0.87252
   9.13233  11.40829   4.73591   0.87252
   9.15618  11.45672   5.11353   0.86510
   9.18016  11.45959   5.18489   0.86510
   9.20426  11.41839   4.94675   0.86510
   9.22848  11.40551   4.90943   0.86510
   9.25284  11.39150   4.86377   0.86510
   9.27732  11.42314   5.07414   0.86762
   9.30193  11.50027   5.54888   0.86762
   9.32668  11.49324   5.42454   0.86762
   9.35155  11.49509   5.31740   0.86762
   9.37656  11.59625   5.83829   0.86762
   9.40170  11.65416   6.06644   0.88390
   9.42698  11.67933   6.13177   0.88390
   9.45239  11.71088   6.30850   0.88390
   9.47794  11.72291   6.38783   0.88390
   9.50363  11.73526   6.48100   0.88390
   9.52946  11.71040   6.30057   0.88812
   9.55542  11.63050   5.70869   0.88812
   9.58153  11.60339   5.48107   0.88812
   9.60779  11.65876   5.83239   0.88812
   9.63418  11.68834   5.95526   0.88812
   9.66072  11.69067   5.84479   0.90381
   9.68741  11.73901   6.11875   0.90381
   9.71425  11.78689   6.38611   0.90381
   9.74123  11.76885   6.06281   0.90381
   9.76837  11.74149   5.70496   0.90381
   9.79565  11.75479   5.78703   0.91592
   9.82309  11.78179   6.03199   0.91592
   9.85068  11.78801   6.08495   0.91592
   9.87843  11.77798   5.97832   0.91592
   9.90633  11.75580   5.73860   0.91592
   9.93440  11.72754   5.41615   0.92568
   9.96262  11.72542   5.32214   0.92568
   9.99100  11.74113   5.38385   0.92568
  10.01954  11.74266   5.28397   0.92568
  10.04825  11.73419   5.09212   0.92568
  10.07712  11.73648   5.02978   0.93984
  10.10615  11.74486   5.02984   0.93984
  10.13536  11.75514   5.06697   0.93984
  10.16473  11.76790   5.15045   0.93984
  10.19428  11.78183   5.26903   0.93984
  10.22399  11.80767   5.59424   0.95541
  10.25388  11.83241   5.92554   0.95541
  10.28395  11.82962   5.86684   0.95541
  10.31419  11.81247   5.62989   0.95541
  10.34461  11.79952   5.49398   0.95541
  10.37521  11.78568   5.37409   0.96380
  10.40599  11.77701   5.34007   0.96380
  10.43695  11.77873   5.51674   0.96380
  10.46810  11.77607   5.72470   0.96380
  10.49943  11.76074   5.74725   0.96380
  10.53095  11.75029   5.85345   0.96790
  10.56267  11.73608   5.89890   0.96790
  10.59457  11.70707   5.68102   0.96790
  10.62666  11.68107   5.56222   0.96790
  10.65895  11.65616   5.50503   0.96790
  10.69144  11.63289   5.47105   0.96857
  10.72413  11.61543   5.53929   0.96857
  10.75701  11.59826   5.65175   0.96857
  10.79010  11.58256   5.87491   0.96857
  10.82339  11.56754   6.16991   0.96857
  10.85689  11.54038   6.14184   0.96773
  10.89059  11.50146   5.85576   0.96773
  10.92450  11.46746   5.74606   0.96773
  10.95863  11.44805   5.94067   0.96773
  10.99297  11.43573   6.28661   0.96773
  11.02752  11.40954   6.21944   0.96869
  11.06230  11.37094   5.81609   0.96869
  11.09729  11.33848   5.67624   0.96869
  11.13250  11.31344   5.74651   0.96869
  11.16794  11.28769   5.77232   0.96869
  11.20360  11.26591   5.93388   0.97057
  11.23949  11.25103   6.31140   0.97057
  11.27562  11.22867   6.47749   0.97057
  11.31197  11.19501   6.34890   0.97057
  11.34856  11.16097   6.27251   0.97057
  11.38538  11.12611   6.18760   0.97146
  11.42245  11.09097   6.06704   0.97146
  11.45976  11.06396   6.16838   0.97146
  11.49731  11.03531   6.23535   0.97146
  11.53511  11.00297   6.24963   0.97146
  11.57316  10.97103   6.23897   0.97347
  11.61146  10.93565   6.07855   0.97347
  11.65001  10.90530   6.17469   0.97347
  11.68882  10.88708   6.77367   0.97347
  11.72789  10.86343   7.20495   0.97347
  11.76722  10.81755   6.81746   0.97472
  11.80681  10.76686   6.23600   0.97472
  11.84667  10.72922   6.16808   0.97472
  11.88680  10.69959   6.45981   0.97472
  11.92721  10.66283   6.46637   0.97472
  11.96789  10.62061   6.22368   0.97626
  12.00884  10.58128   6.12897   0.97626
  12.05008  10.54763   6.33335   0.97626
  12.09160  10.51512   6.58451   0.97626
  12.13341  10.47397   6.41335   0.97626
  12.17551  10.43153   6.13184   0.97872
  12.21790  10.39475   6.21094   0.97872
  12.26059  10.36210   6.57566   0.97872
  12.30357  10.32346   6.66862   0.97872
  12.34686  10.27384   6.59223   0.97872
  12.39045  10.21966   6.78670   0.96590
  12.43436  10.16247   6.96974   0.96590
  12.47857  10.11048   7.14179   0.96590
  12.52310  10.07193   7.53749   0.96590
  12.56794  10.03436   7.66414   0.96590
  12.61311   9.98692   7.17925   0.96319
  12.65861   9.93064   6.61133   0.96319
  12.70443   9.87692   6.63212   0.96319
  12.75059   9.82640   6.88847   0.96319
  12.79708   9.77449   6.84017   0.96319
  12.84391   9.73693   7.01972   0.96338
  12.89109   9.69889   7.09793   0.96338
  12.93861   9.65083   6.81650   0.96338
  12.98648   9.61169   6.83663   0.96338
  13.03471   9.57114   6.81639   0.96338
  13.08330   9.52436   6.64721   0.97188
  13.13225   9.48081   6.69144   0.97188
  13.18157   9.43892   6.89311   0.97188
  13.23126   9.39919   7.25446   0.97188
  13.28133   9.35783   7.46805   0.97188
  13.33177   9.31145   7.39488   0.97814
  13.38260   9.26515   7.41944   0.97814
  13.43382   9.21937   7.59232   0.97814
  13.48544   9.17137   7.67390   0.97814
  13.53744   9.11971   7.56600   0.97814
  13.58986   9.06641   7.42959   0.98383
  13.64268   9.01671   7.44333   0.98383
  13.69591   8.96832   7.49303   0.98383
  13.74955   8.91496   7.36742   0.98383
  13.80362   8.85827   7.23087   0.98383
  13.85812   8.80190   7.33659   0.98438
  13.91304   8.75170   7.44509   0.98438
  13.96840   8.70415   7.39184   0.98438

Case02 (Ts=313.787K Algorithm:ISSTES)
wavelength      Lsur     Ldown  emis_est
   8.00592  11.82541   7.13099   0.99902
   8.02425  11.83014   7.51606   0.99540
   8.04267  11.83172   7.93839   0.99031
   8.06117  11.80725   7.53697   0.98115
   8.07976  11.75572   6.77935   0.97021
   8.09843  11.67195   5.81348   0.95821
   8.11719  11.60371   5.23522   0.94898
   8.13604  11.61185   5.87415   0.94211
   8.15497  11.67164   7.16562   0.93546
   8.17399  11.67932   7.59329   0.92717
   8.19310  11.64408   7.33504   0.92019
   8.21230  11.60175   7.04649   0.91315
   8.23159  11.60094   7.13004   0.90838
   8.25097  11.63953   7.55775   0.90491
   8.27045  11.54966   6.78039   0.89912
   8.29001  11.39490   5.46379   0.89365
   8.30967  11.32073   4.90999   0.88959
   8.32941  11.39395   5.51803   0.88844
   8.34926  11.48256   6.26711   0.88703
   8.36920  11.40934   5.70178   0.88355
   8.38923  11.36405   5.29062   0.88208
   8.40936  11.48690   6.18978   0.88282
   8.42958  11.56576   6.75120   0.88299
   8.44991  11.45859   5.83879   0.88106
   8.47033  11.36564   5.07093   0.87922
   8.49085  11.47253   5.86773   0.87914
   8.51147  11.63924   7.08563   0.88080
   8.53219  11.57929   6.48163   0.88104
   8.55301  11.45789   5.39044   0.88076
   8.57393  11.54662   5.83386   0.88476
   8.59495  11.59547   5.68974   0.89318
   8.61608  11.53813   4.63997   0.89907
   8.63731  11.51401   4.30641   0.89910
   8.65865  11.55045   4.98320   0.89355
   8.68009  11.64391   6.16342   0.88695
   8.70164  11.59797   6.07963   0.87982
   8.72329  11.41887   4.90360   0.87371
   8.74506  11.33606   4.39366   0.87046
   8.76693  11.40997   4.95336   0.86969
   8.78891  11.60903   6.40437   0.87023
   8.81100  11.64406   6.65337   0.86957
   8.83320  11.44423   5.20318   0.86723
   8.85552  11.32589   4.34965   0.86589
   8.87794  11.33989   4.37724   0.86649
   8.90048  11.45104   5.05954   0.86852
   8.92314  11.55286   5.68035   0.87081
   8.94591  11.49801   5.17331   0.87166
   8.96879  11.46435   4.86207   0.87194
   8.99180  11.53605   5.33295   0.87301
   9.01492  11.58540   5.66478   0.87356
   9.03816  11.57585   5.61716   0.87259
   9.06152  11.56349   5.56963   0.87127
   9.08500  11.57316   5.70570   0.86975
   9.10861  11.48632   5.19873   0.86660
   9.13233  11.40829   4.73591   0.86427
   9.15618  11.45672   5.11353   0.86370
   9.18016  11.45959   5.18489   0.86262
   9.20426  11.41839   4.94675   0.86141
   9.22848  11.40551   4.90943   0.86035
   9.25284  11.39150   4.86377   0.85936
   9.27732  11.42314   5.07414   0.85970
   9.30193  11.50027   5.54888   0.86134
   9.32668  11.49324   5.42454   0.86296
   9.35155  11.49509   5.31740   0.86549
   9.37656  11.59625   5.83829   0.87048
   9.40170  11.65416   6.06644   0.87528
   9.42698  11.67933   6.13177   0.87840
   9.45239  11.71088   6.30850   0.88054
   9.47794  11.72291   6.38783   0.88154
   9.50363  11.73526   6.48100   0.88241
   9.52946  11.71040   6.30057   0.88251
   9.55542  11.63050   5.70869   0.88165
   9.58153  11.60339   5.48107   0.88235
   9.60779  11.65876   5.83239   0.88531
   9.63418  11.68834   5.95526   0.88861
   9.66072  11.69067   5.84479   0.89180
   9.68741  11.73901   6.11875   0.89584
   9.71425  11.78689   6.38611   0.90036
   9.74123  11.76885   6.06281   0.90380
   9.76837  11.74149   5.70496   0.90606
   9.79565  11.75479   5.78703   0.90819
   9.82309  11.78179   6.03199   0.91030
   9.85068  11.78801   6.08495   0.91202
   9.87843  11.77798   5.97832   0.91345
   9.90633  11.75580   5.73860   0.91477
   9.93440  11.72754   5.41615   0.91620
   9.96262  11.72542   5.32214   0.91860
   9.99100  11.74113   5.38385   0.92181
  10.01954  11.74266   5.28397   0.92486
  10.04825  11.73419   5.09212   0.92742
  10.07712  11.73648   5.02978   0.93015
  10.10615  11.74486   5.02984   0.93317
  10.13536  11.75514   5.06697   0.93620
  10.16473  11.76790   5.15045   0.93929
  10.19428  11.78183   5.26903   0.94240
  10.22399  11.80767   5.59424   0.94581
  10.25388  11.83241   5.92554   0.94944
  10.28395  11.82962   5.86684   0.95207
  10.31419  11.81247   5.62989   0.95376
  10.34461  11.79952   5.49398   0.95537
  10.37521  11.78568   5.37409   0.95675
  10.40599  11.77701   5.34007   0.95839
  10.43695  11.77873   5.51674   0.96040
  10.46810  11.77607   5.72470   0.96172
  10.49943  11.76074   5.74725   0.96228
  10.53095  11.75029   5.85345   0.96322
  10.56267  11.73608   5.89890   0.96400
  10.59457  11.70707   5.68102   0.96399
  10.62666  11.68107   5.56222   0.96397
  10.65895  11.65616   5.50503   0.96384
  10.69144  11.63289   5.47105   0.96391
  10.72413  11.61543   5.53929   0.96439
  10.75701  11.59826   5.65175   0.96475
  10.79010  11.58256   5.87491   0.96480
  10.82339  11.56754   6.16991   0.96461
  10.85689  11.54038   6.14184   0.96437
  10.89059  11.50146   5.85576   0.96377
  10.92450  11.46746   5.74606   0.96304
  10.95863  11.44805   5.94067   0.96296
  10.99297  11.43573   6.28661   0.96323
  11.02752  11.40954   6.21944   0.96384
  11.06230  11.37094   5.81609   0.96445
  11.09729  11.33848   5.67624   0.96453
  11.13250  11.31344   5.74651   0.96469
  11.16794  11.28769   5.77232   0.96508
  11.20360  11.26591   5.93388   0.96543
  11.23949  11.25103   6.31140   0.96580
  11.27562  11.22867   6.47749   0.96626
  11.31197  11.19501   6.34890   0.96654
  11.34856  11.16097   6.27251   0.96649
  11.38538  11.12611   6.18760   0.96642
  11.42245  11.09097   6.06704   0.96661
