name,address,经度,纬度,tel,type
中国石化梅州江南加油站,丽都东路5号,116.133718,24.280388,0753-2273339,汽车服务;加油站;中国石化
芹洋加油站,223省道芹洋村路段,116.143714,24.292658,0753-2235198,汽车服务;加油站;加油站
中国石化渡江津加油站,程江镇渡江津,116.101669,24.297704,0753-2510762,汽车服务;加油站;中国石化|公司企业;公司;公司
梅州新城加油站,区宪梓大道客家文化城,116.099265,24.283222,[],汽车服务;加油站;加油站
东升加油站(金燕大道),金燕大道万象江山南,116.139273,24.27101,[],汽车服务;加油站;加油站
汇创能源中环加油站,梅塘东路89号,116.121051,24.266155,[],汽车服务;加油站;加油站
中油bp梅州东郊加油站,东山大道,116.135608,24.311932,0753-2230688,汽车服务;加油站;中石油碧辟
中国石化锭子桥加油站,程江镇锭子桥,116.091191,24.292576,0753-2515803,汽车服务;加油站;中国石化
中国石油游客中心加油站,客都大道梅州市中心枢纽汽车站西侧约170米,116.125126,24.257235,[],汽车服务;加油站;中国石油
中国石化城南加油站,三角镇湾下杨屋凹,116.111495,24.256165,0753-2332506,汽车服务;加油站;中国石化
中国海油梅州泰华加油站,环市西路附近,116.089007,24.307952,18126965586,汽车服务;加油站;加油站
中国石化广东梅州麻子岗加油站,梅松路122号,116.124066,24.325263,0753-2353175,汽车服务;加油站;中国石化|公司企业;公司;公司
程江加油站,宪梓中路226-16号,116.087026,24.26792,0753-2560983,汽车服务;加油站;加油站
粤运能源月梅加油站,金山街道办月梅路62-2号,116.125176,24.329116,0753-2299792,汽车服务;加油站;加油站
中国石化城区加油站,程江镇西山村,116.076532,24.289284,0753-2514089,汽车服务;加油站;中国石化
中国石化城北加油站,环市北路170号,116.092465,24.322459,0753-2380890,汽车服务;加油站;中国石化
中油bp梅州太洋加油站,环市北路113号,116.104124,24.328464,0753-2350331,汽车服务;加油站;中石油碧辟
中国石油梅州东升加油站,西阳镇东升工业园,116.168043,24.273933,0753-2329681,汽车服务;加油站;中国石油
中国石化嘉华加油站,东郊镇月梅莲塘67号,116.125953,24.333104,0753-2357818,汽车服务;加油站;中国石化
中油bp梅州铁炉桥加油站,扶大镇铁炉桥95号,116.07117,24.288174,0753-2522877,汽车服务;加油站;中石油碧辟
中国石化大沙加油站,程江镇大沙村,116.088621,24.248708,0753-2561813,汽车服务;加油站;中国石化
加乐加梅县扶大加油站,剑英大道中环·汇悦台南,116.076688,24.254702,0753-2514292;0753-2529282;13802368297,汽车服务;加油站;加油站
中国海油州路加油站,扶大铁炉桥广梅南路258号,116.062737,24.28063,0753-2514290,汽车服务;加油站;加油站
中国石化广梅加油站,扶大铁炉桥,116.060394,24.27844,0753-2514571,汽车服务;加油站;中国石化|公司企业;公司;公司
中油bp梅州城北加油站,城北镇侨中背206国道旁,116.093628,24.331654,0753-2380331;0753-2380890,汽车服务;加油站;中石油碧辟
龙坑加油站,西阳镇龙坑村,116.1885,24.271643,[],汽车服务;加油站;加油站
中国石油梅州南山桥加油站,206国道(储英小学西北),116.085993,24.344548,0753-2365682,汽车服务;加油站;中国石油
中国石化三葵加油站,扶大镇205国道,116.051952,24.275577,0753-2520388,汽车服务;加油站;中国石化
中国石化城东加油站,城东镇石下坪尾,116.132585,24.353437,0753-2359281,汽车服务;加油站;中国石化
中新源泰强加油站,南口镇205国道葵上路段路南,116.043053,24.276289,0753-6691899,汽车服务;加油站;加油站
中油bp梅县区谢田加油站,城东镇205国道,116.135432,24.356855,0753-2651418,汽车服务;加油站;中石油碧辟
粤运能源葵岗加油站,026县道,116.039779,24.247554,[],汽车服务;加油站;加油站
东明加油站(城东镇卫生院西南),收费站与205国道交叉口西南方向100米左右,116.140538,24.372639,[],汽车服务;加油站;加油站
中国石化东梅州梅县区郊区加油站,城东镇竹洋,116.141794,24.373199,0753-2651895,汽车服务;加油站;中国石化
市郊加油站,206国道附近,116.072188,24.36033,0753-2389828,汽车服务;加油站;加油站
中国石化西阳服务区西加油站,梅龙高速公路西阳服务区西区,116.224929,24.297598,0753-2293199,汽车服务;加油站;中国石化
中国石油梅州车陂加油站,南口镇车陂村(205国道旁),116.01882,24.276189,0753-6314904,汽车服务;加油站;中国石油
粤运能源城北停车区加油站(西站),城北停车区西区与S66梅平高速交叉口东南180米,116.060919,24.372029,[],汽车服务;加油站;加油站
中国石化龙塘加油站,南口镇经济开发区205国道路北,115.985337,24.27604,0753-2412866,汽车服务;加油站;中国石化
中国石化梅南加油站,206国道老赖不门窗东北侧180米,116.09105,24.167123,0753-2448368,汽车服务;加油站;中国石化
中国石化丙村加油站,梅县丙村田头,116.259706,24.369297,0753-2858699,汽车服务;加油站;中国石化
务兵石化加油站,城东镇,116.148184,24.399521,[],汽车服务;加油站;加油站
中国石化长沙加油站,长沙镇罗衣岗,116.110167,24.194522,0753-2111435,汽车服务;加油站;中国石化
粤运能源城北停车区加油站(东站),服务区,116.063095,24.372337,[],汽车服务;加油站;加油站
中国石油梅州白宫加油站,西阳镇,116.231946,24.278681,0753-2876778,汽车服务;加油站;中国石油
中国石化西阳服务区东加油站,梅龙高速公路西阳服务区东区,116.226145,24.299375,0753-2293099,汽车服务;加油站;中国石化
中国海油梅州水车加油站,水车镇前进东路1号,116.030521,24.091589,0753-2459668;18023552668,汽车服务;加油站;加油站
梅县太平加油站(太平站),011县道与232乡道交叉口西南100米,115.974547,24.180222,[],汽车服务;加油站;加油站
中国石油梅县红光加油站,224省道,116.210481,24.379716,0753-2853666,汽车服务;加油站;中国石油
中连石化加油站(径心站),205国道,115.934694,24.221579,0753-4801383;0753-4818268,汽车服务;加油站;加油站
中国石油梅州中豪加油站,梅南高速公路入口处,116.079323,24.138924,[],汽车服务;加油站;中国石油
春庭加油站,020县道附近,115.995859,24.401414,[],汽车服务;加油站;加油站
兴城加油站(150乡道),城北镇干才206国道,116.051064,24.369705,0753-2389168,汽车服务;加油站;加油站
茂记加油站,丙村镇九板桥,116.286549,24.368968,0753-2859122,汽车服务;加油站;加油站
中国海油梅县丙村颂记加油站,224省道与283乡道交叉口西北80米,116.238783,24.371104,[],汽车服务;加油站;加油站
中国海油水长加油站,205国道,116.007594,24.271866,0753-2416038,汽车服务;加油站;加油站
中国石化雁洋加油站,雁洋镇松坪,116.318696,24.406669,0753-2825800,汽车服务;加油站;中国石化
闪油捷送加油站(径南站),205国道与迎宾路交叉口西南300米,115.92131,24.183887,[],汽车服务;加油站;加油站
中国石化兴宁服务区南加油站,梅河高速兴宁服务区,115.823553,24.141802,0753-3601788,汽车服务;加油站;中国石化
中国石化觉慈加油站,白渡镇觉慈村,116.179682,24.507076,0753-2678643,汽车服务;加油站;中国石化
中国石化蕉岭服务区东加油站,长深高速公路蕉岭服务区内,116.159073,24.567692,0753-7666929,汽车服务;加油站;中国石化
中国石化油坑加油站,新铺镇205国道蕉头窝路段,116.164233,24.543807,0753-7798569,汽车服务;加油站;中国石化
中国石化畲江工业园加油站,G206桥头寨西侧,115.991321,24.009718,[],汽车服务;加油站;中国石化
